Question,Answer
Do you sell bacteriostatic water?,Yes. BAC Water (bacteriostatic water) is available in 5ML for $18 and 10ML for $50 for laboratory reconstitution of lyophilized research peptides.
Do you have nasal sprays?,"Yes. Research-grade nasal sprays: MT-2 Spray 10MG ($55), Selank Spray 10MG ($55), and Semax Spray 10MG ($55)."
What GHK-Cu do you sell?,"GHK-Cu (Copper Tripeptide-1), 50MG, $25, sold as a 10-pack. It is a naturally occurring copper tripeptide studied for tissue remodeling and collagen pathways in research models."
What MT-2 or Melanotan II options do you have?,"Injectable MT-2 5MG ($24, 10-pack) and MT-2 10MG ($45, 10-pack), plus MT-2 Spray 10MG ($55). Also known as Melanotan II or MT-II. Research use only."
What MT-1 or Melanotan I do you sell?,MT-1 10MG for $45 (10-pack). Also known as Melanotan I or MT-I. Research use only.
What BPC-157 options do you have?,"BPC-157 5MG ($35, 10-pack) and BPC-157 10MG ($50). Also known as Body Protection Compound-157. Research use only."
What Tirzepatide options do you have?,Tirzepatide 10MG ($45) and Tirzepatide 20MG ($65). Also known as LY3298176. Dual GIP/GLP-1 receptor agonist peptide for metabolic research. Research use only.
What is CJC / IPA?,CJC / IPA is a blend of CJC-1295 without DAC (5mg) plus Ipamorelin (5mg) for $90. Also called Mod GRF 1-29 + Ipamorelin. Research use only.
What HCG options do you have?,HCG 2000IU ($40) and HCG 5000IU ($65). Human Chorionic Gonadotropin for reproductive and endocrine research. Research use only.
What IGF-1 LR3 options do you have?,IGF-1 LR3 0.1MG ($35) and IGF-1 LR3 1MG ($175). Also known as Long R3 IGF-1. Research use only.
What Tesamorelin do you sell?,Tesamorelin 10MG for $175. Also known as EGRIFTA or TH9507. Research use only.
What KPV do you sell?,KPV 10MG for $55. Also known as Lysine-Proline-Valine or α-MSH (11-13). Studied for anti-inflammatory pathways in research.
What MOTS-C do you sell?,MOTS-C 10MG for $60. Mitochondrial-derived peptide studied for metabolic and exercise-related pathways. Research use only.
What Retatrutide doses do you sell?,"Retatrutide (also known as LY3437943 or GLP-3): 5MG $50, 10MG $70, 15MG $90, 20MG $110, and 30MG $150. Research use only."
What Glutathione do you sell?,Glutathione 1200MG for $45. Also known as GSH or L-Glutathione. Research use only.
What NAD+ do you sell?,"NAD+ 250MG for $40. Nicotinamide Adenine Dinucleotide, studied for sirtuin activation and cellular energy metabolism. Research use only."
What Semax options do you have?,Semax injectable 10MG ($35) and Semax Spray 10MG ($55). Synthetic heptapeptide analog for cognitive and neuroprotective research. Research use only.
What Selank options do you have?,Selank injectable 10MG ($35) and Selank Spray 10MG ($55). Also known as TP-7. Research use only.
What is 5-Amino-1MQ?,5-Amino-1MQ 10MG for $50. Also called 5A1MQ or NNMTi. Small-molecule NNMT inhibitor studied for metabolic and cellular energy research pathways. Research use only.
How should I store lyophilized peptides?,"Store lyophilized peptides at -20°C for long-term stability. For short-term storage up to 4 weeks, refrigerate at 2–8°C. Protect from light and moisture. Avoid repeated freeze-thaw cycles. Keep sealed until ready for laboratory use."
How should research peptides be handled?,"Use appropriate personal protective equipment (PPE), handle in a clean laboratory environment, follow standard laboratory safety protocols, avoid contamination with skin oils or foreign materials, and dispose of materials according to local regulations."
What research applications are these products for?,"Intended applications include cell culture studies, protein analysis, receptor studies, and biochemical assays in controlled laboratory settings. Products are not for human or veterinary use."
What is your quality process?,"Our process includes raw material verification, controlled synthesis, HPLC purification, third-party identity testing, COA documentation, and nitrogen-sealed packaging. We guarantee 99%+ purity."
Are your products FDA approved?,"No. Statements regarding our products have not been evaluated by the U.S. Food and Drug Administration. Products are not intended to diagnose, treat, cure, or prevent any disease. They are sold for research use only."
Who can purchase from Ovora Labs?,"By purchasing from Ovora Labs, you acknowledge that you are a qualified researcher or are purchasing for legitimate research purposes, and you agree to use all products in accordance with applicable laws and regulations."
Where can I browse your catalog?,"Visit the Store page on our website to browse injectable vials, nasal sprays, and accessories. Product pages include dose, price, and research-context descriptions."
